This list contains all games supported by FB Alpha.

6006 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 88games	|  	| '88 Games						| 		| 1988	| Konami	| GX861		| 					|
| sfzj		|  	| Street Fighter Zero (950727 Japan)			| sfa		| 1995	| Capcom	| CPS2		| 					|
| sfzb		|  	| Street Fighter Zero (951109 Brazil)			| sfa		| 1995	| Capcom	| CPS2		| 					|
| sfzbch	| X	| Street Fighter Zero (CPS Changer, 950727 Brazil)	| sfzch		| 1995	| Capcom	| CPS Changer	| 					|
| sfzech	| X	| Street Fighter Zero (CPS Changer, 950727 Euro)	| sfzch		| 1995	| Capcom	| CPS Changer	| 					|
| sfzhch	| X	| Street Fighter Zero (CPS Changer, 950727 Hispanic)	| sfzch		| 1995	| Capcom	| CPS Changer	| 					|
| sfzach	| X	| Street Fighter Zero (CPS Changer, 950925 Asia)	| sfzch		| 1995	| Capcom	| CPS Changer	| 					|
| sfzch		|  	| Street Fighter Zero (CPS Changer, 951020 Japan)	| 		| 1995	| Capcom	| CPS Changer	| 					|
| sfz2ad	|  	| Street Fighter Zero 2 (960227 Asia Phoenix Edition)	| sfa2		| 1996	| bootleg	| CPS2		| 					|
| sfz2a		|  	| Street Fighter Zero 2 (960227 Asia)			| sfa2		| 1996	| Capcom	| CPS2		| 					|
| sfz2jd	|  	| Street Fighter Zero 2 (960227 Japan Phoenix Edition)	| sfa2		| 1996	| bootleg	| CPS2		| 					|
| sfz2jr1	|  	| Street Fighter Zero 2 (960227 Japan)			| sfa2		| 1996	| Capcom	| CPS2		| 					|
| sfz2n		|  	| Street Fighter Zero 2 (960229 Oceania)		| sfa2		| 1996	| Capcom	| CPS2		| 					|
| sfz2br1	|  	| Street Fighter Zero 2 (960304 Brazil)			| sfa2		| 1996	| Capcom	| CPS2		| 					|
| sfz2h		|  	| Street Fighter Zero 2 (960304 Hispanic)		| sfa2		| 1996	| Capcom	| CPS2		| 					|
| sfz2j		|  	| Street Fighter Zero 2 (960430 Japan)			| sfa2		| 1996	| Capcom	| CPS2		| 					|
| sfz2b		|  	| Street Fighter Zero 2 (960531 Brazil)			| sfa2		| 1996	| Capcom	| CPS2		| 					|
| sfz2alj	|  	| Street Fighter Zero 2 Alpha (960805 Japan)		| sfz2al	| 1996	| Capcom	| CPS2		| 					|
| sfz2alb	|  	| Street Fighter Zero 2 Alpha (960813 Brazil)		| sfz2al	| 1996	| Capcom	| CPS2		| 					|
| sfz2alh	|  	| Street Fighter Zero 2 Alpha (960813 Hispanic)		| sfz2al	| 1996	| Capcom	| CPS2		| 					|
| sfz2ald	|  	| Street Fighter Zero 2 Alpha (960826 Asia Phoenix Editi| sfz2al	| 1996	| bootleg	| CPS2		| 					|
| sfz2al	|  	| Street Fighter Zero 2 Alpha (960826 Asia)		| 		| 1996	| Capcom	| CPS2		| 					|
| sfz3jr2d	|  	| Street Fighter Zero 3 (980629 Japan Phoenix Edition)	| sfa3		| 1998	| bootleg	| CPS2		| 					|
| sfz3jr2	|  	| Street Fighter Zero 3 (980629 Japan)			| sfa3		| 1998	| Capcom	| CPS2		| 					|
| sfz3ar1	|  	| Street Fighter Zero 3 (980701 Asia)			| sfa3		| 1998	| Capcom	| CPS2		| 					|
| sfz3jr1	|  	| Street Fighter Zero 3 (980727 Japan)			| sfa3		| 1998	| Capcom	| CPS2		| 					|
| sfz3a		|  	| Street Fighter Zero 3 (980904 Asia)			| sfa3		| 1998	| Capcom	| CPS2		| 					|
| sfz3j		|  	| Street Fighter Zero 3 (980904 Japan)			| sfa3		| 1998	| Capcom	| CPS2		| 					|
| sftm110	|  	| Street Fighter: The Movie (v1.10)			| sftm		| 1995	| Capcom / Incre| Miscellaneous	| 					|
| sftm111	|  	| Street Fighter: The Movie (v1.11)			| sftm		| 1995	| Capcom / Incre| Miscellaneous	| 					|
| sftm		|  	| Street Fighter: The Movie (v1.12)			| 		| 1995	| Capcom / Incre| Miscellaneous	| 					|
| sftmj112	|  	| Street Fighter: The Movie (v1.12N, Japan)		| sftm		| 1995	| Capcom / Incre| Miscellaneous	| 					|
| strhoop	|  	| Street Hoop / Street Slam / Dunk Dream (DEM-004) (DEH-| 		| 1994	| Data East Corp| Neo Geo MVS	| 					|
| streetsmj	|  	| Street Smart (Japan version 1)			| streetsm	| 1989	| SNK		| Miscellaneous	| 					|
| streetsm1	|  	| Street Smart (US version 1)				| streetsm	| 1989	| SNK		| Miscellaneous	| 					|
| streetsm	|  	| Street Smart (US version 2)				| 		| 1989	| SNK		| Miscellaneous	| 					|
| streetsmw	|  	| Street Smart (World version 1)			| streetsm	| 1989	| SNK		| Miscellaneous	| 					|
| ffightjh	|  	| Street Smart / Final Fight (Japan, hack)		| ffight	| 1989	| Capcom	| CPS1		| 					|
| strnskil	|  	| Strength & Skill					| 		| 1984	| Sun Electronic| Miscellaneous	| 					|
| strider	|  	| Strider (US set 1)					| 		| 1989	| Capcom	| CPS1		| 					|
| striderua	|  	| Strider (US set 2)					| strider	| 1989	| Capcom	| CPS1		| 					|
| strideruc	|  	| Strider (US, Street Fighter II conversion)		| strider	| 1989	| Capcom	| CPS1		| 					|
| striderjr	|  	| Strider Hiryu (Japan Resale Ver.)			| strider	| 1989	| Capcom	| CPS1		| 					|
| striderj	|  	| Strider Hiryu (Japan)					| strider	| 1989	| Capcom	| CPS1		| 					|
| strkfgtrj	|  	| Strike Fighter (Japan)				| strkfgtr	| 1991	| Sega		| Y-Board	| 					|
| strkfgtr	|  	| Strike Fighter (World)				| 		| 1991	| Sega		| Y-Board	| 					|
| stg		|  	| Strike Gunner S.T.G					| 		| 1991	| Athena / Tecmo| Seta		| 					|
| s1945		|  	| Strikers 1945						| 		| 1995	| Psikyo	| Psikyo 68EC020| 					|
| s1945a	|  	| Strikers 1945 (Alt)					| s1945		| 1995	| Psikyo	| Psikyo 68EC020| 					|
| s1945j	|  	| Strikers 1945 (Japan)					| s1945		| 1995	| Psikyo	| Psikyo 68EC020| 					|
| s1945nj	|  	| Strikers 1945 (Japan, unprotected)			| s1945		| 1995	| Psikyo	| Psikyo 68EC020| 					|
| s1945k	|  	| Strikers 1945 (Korea)					| s1945		| 1995	| Psikyo	| Psikyo 68EC020| 					|
| s1945n	|  	| Strikers 1945 (World, unprotected)			| s1945		| 1995	| Psikyo	| Psikyo 68EC020| 					|
| s1945ii	|  	| Strikers 1945 II					| 		| 1997	| Psikyo	| PS3-V1	| 					|
| s1945iii	|  	| Strikers 1945 III (World) / Strikers 1999 (Japan)	| 		| 1999	| Psikyo	| PS5		| 					|
| s1945p	|  	| Strikers 1945 Plus					| 		| 1999	| Psikyo	| Neo Geo MVS	| 					|
| strongx	|  	| Strong X						| stratgyx	| 1982	| bootleg	| Galaxian	| 					|
| subhunt	| D	| Sub Hunter (Gremlin / Taito)				| depthch	| 1977	| Gremlin (Taito| Vic Dual	| No sound				|
| sub		|  	| Submarine (Sigma)					| 		| 1985	| Sigma Enterpri| Miscellaneous	| 					|
| subroc3d	|  	| Subroc-3D						| 		| 1982	| Sega		| Z80-3D	| 					|
| scessjoe	|  	| Success Joe (World)					| 		| 1990	| Taito Corporat| Miscellaneous	| Incomplete sound			|
| sjryuko1	|  	| Sukeban Jansi Ryuko (set 1, System 16A, FD1089B 317-50| sjryuko	| 1987	| White Board	| System 16A	| 					|
| sjryuko	|  	| Sukeban Jansi Ryuko (set 2, System 16B, FD1089B 317-50| 		| 1987	| White Board	| System 16B	| 					|
| sunaq		|  	| SunA Quiz 6000 Academy (940620-6)			| 		| 1994	| SunA		| Miscellaneous	| 					|
| ssridersabd	|  	| Sunset Riders (2 Players ver. ABD)			| ssriders	| 1991	| Konami	| GX064		| 					|
| ssridersebc	|  	| Sunset Riders (2 Players ver. EBC)			| ssriders	| 1991	| Konami	| GX064		| 					|
| ssridersebd	|  	| Sunset Riders (2 Players ver. EBD)			| ssriders	| 1991	| Konami	| GX064		| 					|
| ssridersjbd	|  	| Sunset Riders (2 Players ver. JBD)			| ssriders	| 1991	| Konami	| GX064		| 					|
| ssridersubc	|  	| Sunset Riders (2 Players ver. UBC)			| ssriders	| 1991	| Konami	| GX064		| 					|
| ssridersadd	|  	| Sunset Riders (4 Players ver. ADD)			| ssriders	| 1991	| Konami	| GX064		| 					|
| ssriderseaa	|  	| Sunset Riders (4 Players ver. EAA)			| ssriders	| 1991	| Konami	| GX064		| 					|
| ssriders	|  	| Sunset Riders (4 Players ver. EAC)			| 		| 1991	| Konami	| GX064		| 					|
| ssridersjac	|  	| Sunset Riders (4 Players ver. JAC)			| ssriders	| 1991	| Konami	| GX064		| 					|
| ssridersjad	|  	| Sunset Riders (4 Players ver. JAD)			| ssriders	| 1991	| Konami	| GX064		| 					|
| ssridersuab	|  	| Sunset Riders (4 Players ver. UAB)			| ssriders	| 1991	| Konami	| GX064		| 					|
| ssridersuac	|  	| Sunset Riders (4 Players ver. UAC)			| ssriders	| 1991	| Konami	| GX064		| 					|
| ssridersuda	|  	| Sunset Riders (4 Players ver. UDA)			| ssriders	| 1991	| Konami	| GX064		| 					|
| ssridersb	| D NW	| Sunset Riders (bootleg 4 Players ver. ADD)		| ssriders	| 1991	| Konami	| GX064		| 					|
| csuperas	|  	| Super Astro Fighter (DECO Cassette) (US)		| 		| 1981	| Data East Corp| Cassette Syste| 					|
| sathena	|  	| Super Athena (bootleg)				| athena	| 1987	| bootleg	| Miscellaneous	| 					|
| sbagman	|  	| Super Bagman						| 		| 1984	| Valadon Automa| Miscellaneous	| 					|
| sbagmani	|  	| Super Bagman (Itisa, Spain)				| sbagman	| 1984	| Valadon Automa| Miscellaneous	| 					|
| sbagmans	|  	| Super Bagman (Stern Electronics)			| sbagman	| 1984	| Valadon Automa| Miscellaneous	| 					|
| superbar	|  	| Super Bar						| wiggie	| 1994	| Promat	| Seta		| 					|
| sbaskete	|  	| Super Basketball (version E, encrypted)		| sbasketb	| 1984	| Konami	| Miscellaneous	| 					|
| sbasketg	|  	| Super Basketball (version G, encrypted)		| sbasketb	| 1984	| Konami	| Miscellaneous	| 					|
| sbasketh	|  	| Super Basketball (version H, unprotected)		| sbasketb	| 1984	| Konami	| Miscellaneous	| 					|
| sbasketb	|  	| Super Basketball (version I, encrypted)		| 		| 1984	| Konami	| Miscellaneous	| 					|
| sbishi	|  	| Super Bishi Bashi Championship (ver JAA, 2 Players)	| 		| 1998	| Konami	| Miscellaneous	| Imperfect gfx (bad priorities)	|
| sbishika	|  	| Super Bishi Bashi Championship (ver KAA, 3 Players)	| sbishi	| 1998	| Konami	| Miscellaneous	| Imperfect gfx (bad priorities)	|
| sbishik	|  	| Super Bishi Bashi Championship (ver KAB, 3 Players)	| sbishi	| 1998	| Konami	| Miscellaneous	| Imperfect gfx (bad priorities)	|
| sboblboblc	|  	| Super Bobble Bobble (bootleg)				| bublbobl	| 1986	| bootleg	| Taito Misc	| 					|
| sboblbobl	|  	| Super Bobble Bobble (bootleg, set 1)			| bublbobl	| 1986	| bootleg (Datsu| Taito Misc	| 					|
| sboblbobla	|  	| Super Bobble Bobble (bootleg, set 2)			| bublbobl	| 1986	| bootleg	| Taito Misc	| 					|
| sboblboblb	|  	| Super Bobble Bobble (bootleg, set 3)			| bublbobl	| 1986	| bootleg	| Taito Misc	| 					|
| sboblbobld	|  	| Super Bobble Bobble (bootleg, set 4)			| bublbobl	| 1986	| bootleg	| Taito Misc	| 					|
| sbp		| D NW	| Super Bubble Pop					| 		| 2004	| Vektorlogic	| Neo Geo MVS	| 					|
| supbtimej	|  	| Super Burger Time (Japan)				| supbtime	| 1990	| Data East Corp| DECO IC16	| 					|
| supbtime	|  	| Super Burger Time (World, set 1)			| 		| 1990	| Data East Corp| DECO IC16	| 					|
| supbtimea	|  	| Super Burger Time (World, set 2)			| supbtime	| 1990	| Data East Corp| DECO IC16	| 					|
| sbbros	|  	| Super Buster Bros. (USA 901001)			| spang		| 1990	| Mitchell (Capc| Miscellaneous	| 					|
| sucasino	|  	| Super Casino						| 		| 1984	| Data Amusement| Jack the Giant| 					|
| sbasebalj	|  	| Super Champion Baseball (Japan)			| sbasebal	| 1989	| Alpha Denshi C| Miscellaneous	| 					|
| sbasebal	|  	| Super Champion Baseball (US)				| 		| 1989	| Alpha Denshi C| Miscellaneous	| 					|
| superchsj	|  	| Super Chase - Criminal Termination (Japan)		| superchs	| 1992	| Taito Corporat| Taito Misc	| 					|
| superchsu	|  	| Super Chase - Criminal Termination (US)		| superchs	| 1992	| Taito America | Taito Misc	| 					|
| superchs	|  	| Super Chase - Criminal Termination (World)		| 		| 1992	| Taito Corporat| Taito Misc	| 					|
| scobra	|  	| Super Cobra						| 		| 1981	| Konami	| Galaxian	| 					|
| scobrab	|  	| Super Cobra (bootleg, set 1)				| scobra	| 1981	| bootleg (Karat| Galaxian	| 					|
| scobrag	|  	| Super Cobra (bootleg, set 2)				| scobra	| 1981	| bootleg (A.V.G| Galaxian	| 					|
| scobrase	|  	| Super Cobra (Sega)					| scobra	| 1981	| Konami (Sega l| Galaxian	| 					|
| scobras	|  	| Super Cobra (Stern)					| scobra	| 1981	| Konami (Stern | Galaxian	| 					|
| scobrae	|  	| Super Cobra (Stern) (encrypted, KONATEC XC-103SS CPU)	| scobra	| 1981	| Konami (Stern | Galaxian	| 					|
| scontra	|  	| Super Contra						| 		| 1988	| Konami	| GX775		| 					|
| scontraj	|  	| Super Contra (Japan)					| scontra	| 1988	| Konami	| GX775		| 					|
| supcrash	|  	| Super Crash (bootleg of Head On)			| headon	| 1979	| bootleg (VGG)	| Miscellaneous	| No sound				|
| sprcros2	|  	| Super Cross II (Japan, set 1)				| 		| 1986	| GM Shoji	| Miscellaneous	| 					|
| sprcros2a	|  	| Super Cross II (Japan, set 2)				| sprcros2	| 1986	| GM Shoji	| Miscellaneous	| 					|
| scfinalso	|  	| Super Cup Finals (Ver 2.1O 1993/11/19)		| scfinals	| 1993	| Taito Corporat| Taito F3 Syste| Use service coin! (game has issues)	|
| scfinals	|  	| Super Cup Finals (Ver 2.2O 1994/01/13)		| 		| 1993	| Taito Corporat| Taito F3 Syste| Use service coin! (game has issues)	|
| sdodgeb	|  	| Super Dodge Ball / Kunio no Nekketsu Toukyuu Densetsu	| 		| 1996	| Technos	| Neo Geo MVS	| 					|
| csdtenis	|  	| Super Doubles Tennis (DECO Cassette) (Japan)		| 		| 1983	| Data East Corp| Cassette Syste| 					|
| supduck	|  	| Super Duck						| 		| 1992	| Comad		| Miscellaneous	| 					|
| usg32		|  	| Super Duper Casino (California V3.2)			| 		| 1987	| U.S. Games	| Miscellaneous	| 					|
| sformula	|  	| Super Formula (Japan)					| tail2nos	| 1989	| V-System Co.	| Miscellaneous	| 					|
| superg	|  	| Super Galaxians (galaxiaj hack)			| galaxian	| 1979	| hack		| Galaxian	| 					|
| sgemfa	|  	| Super Gem Fighter Mini Mix (970904 Asia)		| sgemf		| 1997	| Capcom	| CPS2		| 					|
| sgemfh	|  	| Super Gem Fighter Mini Mix (970904 Hispanic)		| sgemf		| 1997	| Capcom	| CPS2		| 					|
| sgemfd	|  	| Super Gem Fighter Mini Mix (970904 USA Phoenix Edition| sgemf		| 1997	| bootleg	| CPS2		| 					|
| sgemf		|  	| Super Gem Fighter Mini Mix (970904 USA)		| 		| 1997	| Capcom	| CPS2		| 					|
| suprglob	|  	| Super Glob						| 		| 1983	| Epos Corporati| EPOS Tristar	| 					|
| sprglobp	|  	| Super Glob (Pac-Man hardware)				| suprglob	| 1983	| Epos Corporati| Pac-man	| 					|
| sprglbpg	|  	| Super Glob (Pac-Man hardware) German			| suprglob	| 1983	| bootleg	| Pac-man	| 					|
| supergx	| D NW	| Super GX						| galaxian	| 1980	| Nichibutsu	| Galaxian	| Bad Dump				|
| shangonrb2	| D NW	| Super Hang-On (Hang-On conversion, Beta bootleg)	| shangon	| 1992	| bootleg (Beta)| Hang-On	| 					|
| shangonrb	| D NW	| Super Hang-On (Hang-On conversion, bootleg)		| shangon	| 1992	| bootleg	| Hang-On	| 					|
| shangonho	| D NW	| Super Hang-On (Hang-On conversion, Japan, FD1094 317-0| shangon	| 1992	| Sega		| Hang-On	| 					|
| shangonro	| D NW	| Super Hang-On (Hang-On conversion, ride-on, Japan, FD1| shangon	| 1992	| Sega		| Hang-On	| 					|
| shangon1	|  	| Super Hang-On (mini ride-on, FD1089B 317-0034)	| shangon	| 1987	| Sega		| Out Run	| 					|
| shangon2	|  	| Super Hang-On (mini ride-on, Rev A, FD1089B 317-0034)	| shangon	| 1987	| Sega		| Out Run	| 					|
| shangon3d	|  	| Super Hang-On (sitdown/upright, FD1089B 317-0034 decry| shangon	| 1987	| Sega		| Out Run	| 					|
| shangon3	|  	| Super Hang-On (sitdown/upright, FD1089B 317-0034)	| shangon	| 1987	| Sega		| Out Run	| 					|
| shangon	|  	| Super Hang-On (sitdown/upright, unprotected)		| 		| 1987	| Sega		| Out Run	| 					|
| shangoneh	|  	| Super Hang-On (sitdown/upright, unprotected) (Enhanced| shangon	| 2014	| hack (Chris Wh| Out Run	| 					|
| suprheli	|  	| Super Heli (Super Cobra bootleg)			| scobra	| 1981	| bootleg	| Galaxian	| 					|
| skns		|   NW	| Super Kaneko Nova System BIOS				| 		| 1996	| Kaneko	| Super Kaneko N| BIOS only				|
| suprleag	|  	| Super League (FD1094 317-0045)			| 		| 1987	| Sega		| System 16B	| 					|
| suprlocoo	|  	| Super Locomotive					| suprloco	| 1982	| Sega		| Miscellaneous	| 					|
| suprloco	|  	| Super Locomotive (Rev.A)				| 		| 1982	| Sega		| Miscellaneous	| 					|
| marukin	|  	| Super Marukin-Ban (Japan 901017)			| 		| 1990	| Yuga		| Miscellaneous	| 					|
| supmodel	|  	| Super Model						| 		| 1994	| Comad / New Ja| Miscellaneous	| 					|
| smgpja	|  	| Super Monaco GP (Japan, Rev A, FD1094 317-0124a)	| smgp		| 1989	| Sega		| X-Board	| 					|
| smgpjd	|  	| Super Monaco GP (Japan, Rev B, FD1094 317-0124a decryp| smgp		| 1989	| Sega		| X-Board	| 					|
| smgpj		|  	| Super Monaco GP (Japan, Rev B, FD1094 317-0124a)	| smgp		| 1989	| Sega		| X-Board	| 					|
| smgpu2d	|  	| Super Monaco GP (US, Rev A, FD1094 317-0125a decrypted| smgp		| 1989	| Sega		| X-Board	| 					|
| smgpu2	|  	| Super Monaco GP (US, Rev A, FD1094 317-0125a)		| smgp		| 1989	| Sega		| X-Board	| 					|
| smgpu1d	|  	| Super Monaco GP (US, Rev B, FD1094 317-0125a decrypted| smgp		| 1989	| Sega		| X-Board	| 					|
| smgpu1	|  	| Super Monaco GP (US, Rev B, FD1094 317-0125a)		| smgp		| 1989	| Sega		| X-Board	| 					|
| smgpud	|  	| Super Monaco GP (US, Rev C, FD1094 317-0125a decrypted| smgp		| 1989	| Sega		| X-Board	| 					|
| smgpu		|  	| Super Monaco GP (US, Rev C, FD1094 317-0125a)		| smgp		| 1989	| Sega		| X-Board	| 					|
| smgp5d	|  	| Super Monaco GP (World, FD1094 317-0126 decrypted)	| smgp		| 1989	| Sega		| X-Board	| 					|
| smgp5		|  	| Super Monaco GP (World, FD1094 317-0126)		| smgp		| 1989	| Sega		| X-Board	| 					|
| smgp6d	|  	| Super Monaco GP (World, Rev A, FD1094 317-0126a decryp| smgp		| 1989	| Sega		| X-Board	| 					|
| smgp6		|  	| Super Monaco GP (World, Rev A, FD1094 317-0126a)	| smgp		| 1989	| Sega		| X-Board	| 					|
| smgpd		|  	| Super Monaco GP (World, Rev B, FD1094 317-0126a decryp| smgp		| 1989	| Sega		| X-Board	| 					|
| smgp		|  	| Super Monaco GP (World, Rev B, FD1094 317-0126a)	| 		| 1989	| Sega		| X-Board	| 					|
| smooncrs	|  	| Super Moon Cresta					| mooncrst	| 1981?	| Nichibutsu (Gr| Galaxian	| 					|
| suprmous	|  	| Super Mouse						| 		| 1982	| Taito Corporat| Miscellaneous	| 					|
| smbombr1	|  	| Super Muscle Bomber - the international blowout (94080| ringdest	| 1994	| Capcom	| CPS2		| 					|
| smbomb	|  	| Super Muscle Bomber - the international blowout (94083| ringdest	| 1994	| Capcom	| CPS2		| 					|
| superpac	|  	| Super Pac-Man						| 		| 1982	| Namco		| Miscellaneous	| 					|
| superpacm	|  	| Super Pac-Man (Midway)				| superpac	| 1982	| Namco (Bally M| Miscellaneous	| 					|
| spangj	|  	| Super Pang (Japan 901023)				| spang		| 1990	| Mitchell	| Miscellaneous	| 					|
| spang		|  	| Super Pang (World 900914)				| 		| 1990	| Mitchell	| Miscellaneous	| 					|
| spnchoutj	|  	| Super Punch-Out!! (Japan)				| spnchout	| 1984	| Nintendo	| Miscellaneous	| 					|
| spnchouta	|  	| Super Punch-Out!! (Rev A)				| spnchout	| 1984	| Nintendo	| Miscellaneous	| 					|
| spnchout	|  	| Super Punch-Out!! (Rev B)				| 		| 1984	| Nintendo	| Miscellaneous	| 					|
| spf2ta	|  	| Super Puzzle Fighter II Turbo (Super Puzzle Fighter 2 | spf2t		| 1996	| Capcom	| CPS2		| 					|
| spf2t		|  	| Super Puzzle Fighter II Turbo (Super Puzzle Fighter 2 | 		| 1996	| Capcom	| CPS2		| 					|
| spf2th	|  	| Super Puzzle Fighter II Turbo (Super Puzzle Fighter 2 | spf2t		| 1996	| Capcom	| CPS2		| 					|
| spf2td	|  	| Super Puzzle Fighter II Turbo (Super Puzzle Fighter 2 | spf2t		| 1996	| bootleg	| CPS2		| 					|
| spf2tu	|  	| Super Puzzle Fighter II Turbo (Super Puzzle Fighter 2 | spf2t		| 1996	| Capcom	| CPS2		| 					|
| spf2xjd	|  	| Super Puzzle Fighter II X (Super Puzzle Fighter 2 X 96| spf2t		| 1996	| bootleg	| CPS2		| 					|
| spf2xj	|  	| Super Puzzle Fighter II X (Super Puzzle Fighter 2 X 96| spf2t		| 1996	| Capcom	| CPS2		| 					|
| sranger	|  	| Super Ranger (v2.0)					| 		| 1988	| SunA		| Miscellaneous	| 					|
| srdarwinj	|  	| Super Real Darwin (Japan)				| srdarwin	| 1987	| Data East Corp| DEC8		| 					|
| srdarwin	|  	| Super Real Darwin (World)				| 		| 1987	| Data East Corp| DEC8		| 					|
| srmp7		|  	| Super Real Mahjong P7 (Japan)				| 		| 1997	| Seta		| SSV		| No sound.				|
| srmp4		|  	| Super Real Mahjong PIV (Japan)			| 		| 1993	| Seta		| SSV		| 					|
| srmp4o	|  	| Super Real Mahjong PIV (Japan, older set)		| srmp4		| 1993	| Seta		| SSV		| 					|
| suprridr	|  	| Super Rider						| 		| 1983	| Taito Corporat| Miscellaneous	| 					|
| ssideki	|  	| Super Sidekicks / Tokuten Ou				| 		| 1992	| SNK		| Neo Geo MVS	| 					|
| ssideki2	|  	| Super Sidekicks 2 - The World Championship / Tokuten O| 		| 1994	| SNK		| Neo Geo MVS	| 					|
| ssideki3	|  	| Super Sidekicks 3 - The Next Glory / Tokuten Ou 3 - ei| 		| 1995	| SNK		| Neo Geo MVS	| 					|
| ssi		|  	| Super Space Invaders '91 (World)			| 		| 1990	| Taito Corporat| Taito F2	| 					|
| macross	|  	| Super Spacefortress Macross / Chou-Jikuu Yousai Macros| 		| 1992	| Banpresto	| NMK16		| 					|
| macross2	|  	| Super Spacefortress Macross II / Chou-Jikuu Yousai Mac| 		| 1993	| Banpresto	| NMK16		| 					|
| macross2g	|  	| Super Spacefortress Macross II / Chou-Jikuu Yousai Mac| macross2	| 1993	| Banpresto	| NMK16		| 					|
| ssrj		|  	| Super Speed Race Junior (Japan)			| 		| 1985	| Taito Corporat| Miscellaneous	| Weird colors				|
| sstarcrs	|  	| Super Star Crest					| mooncrst	| 1980?	| Nichibutsu (Ta| Galaxian	| 					|
| sstingry	|  	| Super Stingray (Japan)				| 		| 1986	| Alpha Denshi C| Miscellaneous	| 					|
| ssf2jr2	|  	| Super Street Fighter II - the new challengers (super s| ssf2		| 1993	| Capcom	| CPS2		| 					|
| ssf2d		|  	| Super Street Fighter II - the new challengers (super s| ssf2		| 1993	| bootleg	| CPS2		| 					|
| ssf2r1	|  	| Super Street Fighter II - the new challengers (super s| ssf2		| 1993	| Capcom	| CPS2		| 					|
| ssf2h		|  	| Super Street Fighter II - the new challengers (super s| ssf2		| 1993	| Capcom	| CPS2		| 					|
| ssf2jr1	|  	| Super Street Fighter II - the new challengers (super s| ssf2		| 1993	| Capcom	| CPS2		| 					|
| ssf2ud	|  	| Super Street Fighter II - the new challengers (super s| ssf2		| 1993	| bootleg	| CPS2		| 					|
| ssf2u		|  	| Super Street Fighter II - the new challengers (super s| ssf2		| 1993	| Capcom	| CPS2		| 					|
| ssf2ar1	|  	| Super Street Fighter II - the new challengers (super s| ssf2		| 1993	| Capcom	| CPS2		| 					|
| ssf2a		|  	| Super Street Fighter II - the new challengers (super s| ssf2		| 1993	| Capcom	| CPS2		| 					|
| ssf2		|  	| Super Street Fighter II - the new challengers (super s| 		| 1993	| Capcom	| CPS2		| 					|
| ssf2j		|  	| Super Street Fighter II - the new challengers (super s| ssf2		| 1993	| Capcom	| CPS2		| 					|
| ssf2tbr1	|  	| Super Street Fighter II - the tournament battle (93091| ssf2		| 1993	| Capcom	| CPS2		| Linkup feature not implemented	|
| ssf2tbj1	|  	| Super Street Fighter II - the tournament battle (93091| ssf2		| 1993	| Capcom	| CPS2		| Linkup feature not implemented	|
| ssf2tbu	|  	| Super Street Fighter II - the tournament battle (93091| ssf2		| 1993	| Capcom	| CPS2		| Linkup feature not implemented	|
| ssf2tba	|  	| Super Street Fighter II - the tournament battle (93100| ssf2		| 1993	| Capcom	| CPS2		| Linkup feature not implemented	|
| ssf2tbh	|  	| Super Street Fighter II - the tournament battle (93100| ssf2		| 1993	| Capcom	| CPS2		| Linkup feature not implemented	|
| ssf2tbj	|  	| Super Street Fighter II - the tournament battle (93100| ssf2		| 1993	| Capcom	| CPS2		| Linkup feature not implemented	|
| ssf2tbd	|  	| Super Street Fighter II - the tournament battle (93111| ssf2		| 1993	| bootleg	| CPS2		| Linkup feature not implemented	|
| ssf2tb	|  	| Super Street Fighter II - the tournament battle (93111| ssf2		| 1993	| Capcom	| CPS2		| Linkup feature not implemented	|
| ssf2tad	|  	| Super Street Fighter II Turbo (super street fighter 2 | ssf2t		| 1994	| bootleg	| CPS2		| 					|
| ssf2ta	|  	| Super Street Fighter II Turbo (super street fighter 2 | ssf2t		| 1994	| Capcom	| CPS2		| 					|
| ssf2td	|  	| Super Street Fighter II Turbo (super street fighter 2 | ssf2t		| 1994	| bootleg	| CPS2		| 					|
| ssf2t		|  	| Super Street Fighter II Turbo (super street fighter 2 | 		| 1994	| Capcom	| CPS2		| 					|
| ssf2th	|  	| Super Street Fighter II Turbo (super street fighter 2 | ssf2t		| 1994	| Capcom	| CPS2		| 					|
| ssf2tur1	|  	| Super Street Fighter II Turbo (super street fighter 2 | ssf2t		| 1994	| Capcom	| CPS2		| 					|
| ssf2tu	|  	| Super Street Fighter II Turbo (super street fighter 2 | ssf2t		| 1994	| Capcom	| CPS2		| 					|
| ssf2xjr1d	|  	| Super Street Fighter II X - grand master challenge (su| ssf2t		| 1994	| bootleg	| CPS2		| 					|
| ssf2xjr1r	|  	| Super Street Fighter II X - grand master challenge (su| ssf2t		| 1994	| Capcom	| CPS2		| 					|
| ssf2xjr1	|  	| Super Street Fighter II X - grand master challenge (su| ssf2t		| 1994	| Capcom	| CPS2		| 					|
| ssf2xj	|  	| Super Street Fighter II X - grand master challenge (su| ssf2t		| 1994	| Capcom	| CPS2		| 					|
| usg82		|  	| Super Ten V8.2					| superten	| 1988	| U.S. Games	| Miscellaneous	| 					|
